run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	submission_accession	tax_id	scientific_name	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_md5	fastq_bytes	submitted_md5	submitted_bytes	submitted_format	center_name	broker_name	first_public	last_updated
ERR268254	ERX242647	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	98298620	19856321240	a9fa47076c9151448470ec8694371f72;cbfc6ad72aa1d0e1086b8688d33298cc	8466887761;8700012977	de055479afa4e9925f97d7c02cec09e2	17234912294	FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
ERR271438	ERX245665	SAMEA1886640	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2829312	565862400	60fc55288471daa9d39003bbbcfc45a8;50a013bf9ea11e57bbd1dbfef8e81138	259749324;275171918	ec680db0bcf28317c1b3ad8157013940	507153017	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR267951	ERX242447	SAMEA1906663	PRJEB1880	ERP002553	ERA210147	56765	uncultured marine bacterium	AMPLICON	GENOMIC	PCR	LS454	454 GS FLX Titanium	11029	5121496	74d57d1b853668932751f8cfc2c2faf1	1739086	d90c5e40f2563be97cf377280054c4c2	34021444	SFF	Observatoire Oceanologique de Banyuls-sur-mer;= France;OOB (UPMC;CNRS)		2013-05-21	2018-11-16
ERR271440	ERX245667	SAMEA1886613	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2081871	416374200	dfd3a96334594854eb8c2789a41f3a81;17118e3b0b8c337cf0868b68fd49908f	191388128;202577622	907ec84fb1911f22b82268b6327b200e	370976047	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR822794	SRX262474	SAMN01999391	PRJNA196490	SRP020629	SRA072536	447135	Myodes glareolus	OTHER	GENOMIC	Reduced Representation	ILLUMINA	Illumina HiSeq 2000	1793857	114806848	8f504623e19f8f3fd2a935d29944618b	97000789				University of Bern		2013-05-27	2020-06-01
ERR271443	ERX245670	SAMEA1886665	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2320859	464171800	f30d25f1290d64c4c3231a541e86ab2e;909ab47f2ccb2cfc179b920099065926	213499284;226288346	4c0e2a3466711df3d30a917dfa15d677	411017130	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR850026	SRX277203	SAMN01908618	PRJNA67229	SRP022359	SRA075930	69004	Anopheles farauti	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	15722913	3176028426	9373f77ac1e9176b4b4a5ef146440716;f2032c5a0031a83d0642b7384ba8ad26	1352866710;1345791029				BI		2013-05-25	2019-11-28
ERR268261	ERX242648	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	75439697	15238818794	0b25538154aba623b2cb064743e25867;a355d087aaa35cbdd28e51a54b262c56	6030625782;6130743189	3352540d607fa14749dba448135188e0	12167457578	FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
ERR271447	ERX245674	SAMEA1886662	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2063731	412746200	5a89fd47862264827bcf9e7ff2de7f89;a8d982914e2f01f8a65e9093e9670470	189838330;200837817	bfa2573b37dbeb4dfa4c69ccd3a4b102	366687753	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR267962	ERX242458	SAMEA1906640	PRJEB1880	ERP002553	ERA210147	56765	uncultured marine bacterium	AMPLICON	GENOMIC	PCR	LS454	454 GS FLX Titanium	12403	5799255	0d1ef243ecc854e3e0c7a464b204868e	1920321	3dfd4b434c21a06bd929456c2ed85b5b	38377812	SFF	Observatoire Oceanologique de Banyuls-sur-mer;= France;OOB (UPMC;CNRS)		2013-05-21	2018-11-16
