runA	runB	studyA	studyB	nameA	nameB	relation	prior	stat_identical	suppA	suppB	topA	verdict
ERR571287	ERR842802	PRJEB6874	PRJEB9004	uncultured methanogenic archaeon	uncultured archaeon	same_genus	EXACT_md5	True	None	None	None	untestable (no species-level claim on either side)
ERR1199109	ERR1654659	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0337	None	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654659	ERR2706975	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0337	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR2209589	ERR2213558	PRJEB23728	PRJEB23778	Salmonella enterica	Escherichia coli	same_higher_depth6	EXACT_md5	False	0.0003	0.1579	[('Escherichia coli', 15.8), ('Salmonella enterica', 0.0), ('Pseudocitrobacter faecalis', 0.0)]	species-level reads support B only
ERR1347770	ERR1543591	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	True	0.9492	0.0001	[('Mus musculus', 94.9), ('Homo sapiens', 0.0), ('Acidianus bottle-shaped virus', 0.0)]	species-level reads support A only
ERR957235	ERR993600	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Ruminococcus sp. HUN007', 0.0), ('Adlercreutzia equolifaciens', 0.0), ('Collinsella sp. MS5', 0.0)]	species-level reads support neither
ERR1347773	ERR1543594	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	True	0.9567	0.0	[('Mus musculus', 95.7), ('Homo sapiens', 0.0), ('Stenotrophomonas maltophilia', 0.0)]	species-level reads support A only
ERR1654691	ERR2707127	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0383	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465876	ERR552587	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0301	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR2013703	ERR3499115	PRJEB21445	PRJEB33681	Rattus norvegicus	Mus musculus	same_higher_depth15	EXACT_md5	False	0.0	0.0	[('Streptococcus pneumoniae', 4.0), ('Parabacteroides sp. YL27', 2.1), ('Lachnospiraceae bacterium COE1', 0.2)]	species-level reads support neither
ERR1465883	ERR552656	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0313	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.0), ('Homo sapiens', 0.0)]	species-level reads support A only
ERR1465847	ERR551271	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0316	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1347772	ERR1543593	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	False	0.9241	0.0	[('Mus musculus', 92.4), ('Mesocricetus auratus', 0.0), ('Microtus ochrogaster', 0.0)]	species-level reads support A only
ERR1654700	ERR2707188	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0381	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR957239	ERR993560	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 6.9), ('Clostridium sp. SS2/1', 0.8), ('Lachnospiraceae bacterium 1_4_56FAA', 0.0)]	species-level reads support neither
ERR1199108	ERR1654696	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0386	None	[('Mycobacterium tuberculosis', 3.9), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654696	ERR2707161	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0386	[('Mycobacterium tuberculosis', 3.9), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1347768	ERR1543589	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	True	0.9322	0.0	[('Mus musculus', 93.2), ('Pseudorhodoferax sp. Leaf267', 0.0)]	species-level reads support A only
ERR1654679	ERR2707076	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0349	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR841743	ERR860899	PRJEB9004	PRJEB9112	uncultured archaeon	uncultured fungus	same_genus	EXACT_md5	True	None	None	[('Sarocladium kiliense', 76.9), ('Pleurostoma ochraceum', 0.0), ('Methanogenium cariaci', 0.0)]	untestable (no species-level claim on either side)
ERR990703	ERR993546	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Succinivibrio dextrinosolvens', 17.9), ('Elusimicrobium minutum', 1.2), ('Allofustis seminis', 0.1)]	species-level reads support neither
ERR1465728	ERR550802	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0304	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR957233	ERR993558	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 0.3), ('Adlercreutzia equolifaciens', 0.2), ('Anaerofustis stercorihominis', 0.0)]	species-level reads support neither
ERR1199099	ERR1654670	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0378	None	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
